iter	Passed	Remaining
551	9419	7644
552	9452	7640
553	9482	7633
554	9513	7627
555	9548	7625
556	9576	7616
557	9605	7608
558	9624	7593
559	9643	7576
560	9663	7561
561	9682	7546
562	9705	7533
563	9728	7520
564	9756	7511
565	9780	7499
566	9804	7487
567	9824	7472
568	9841	7454
569	9857	7436
570	9877	7420
571	9891	7401
572	9907	7383
573	9926	7366
574	9941	7348
575	9958	7330
576	9976	7314
577	9998	7300
578	10015	7282
579	10034	7266
580	10047	7245
581	10063	7227
582	10102	7225
583	10116	7206
584	10132	7188
585	10151	7171
586	10169	7154
587	10184	7135
588	10203	7119
589	10218	7100
590	10233	7082
591	10251	7065
592	10269	7048
593	10284	7029
594	10300	7011
595	10315	6992
596	10331	6974
597	10348	6956
598	10363	6937
599	10381	6920
600	10395	6901
601	10408	6881
602	10424	6863
603	10439	6844
604	10459	6828
605	10475	6810
606	10494	6794
607	10512	6778
608	10531	6761
609	10548	6744
610	10563	6725
611	10581	6708
612	10598	6691
613	10613	6672
614	10628	6653
615	10646	6636
616	10664	6619
617	10678	6600
618	10696	6583
619	10717	6568
620	10737	6553
621	10754	6535
622	10773	6519
623	10792	6503
624	10819	6491
625	10846	6479
626	10869	6466
627	10903	6458
628	10927	6445
629	10952	6432
630	10973	6417
631	10993	6401
632	11010	6383
633	11028	6366
634	11042	6347
635	11058	6329
636	11073	6310
637	11119	6308
638	11134	6290
639	11151	6272
640	11165	6253
641	11183	6236
642	11200	6218
643	11214	6199
644	11229	6180
645	11242	6160
646	11258	6142
647	11277	6125
648	11297	6109
649	11313	6091
650	11328	6072
651	11344	6055
652	11358	6035
653	11372	6016
654	11391	5999
655	11409	5982
656	11427	5965
657	11442	5947
658	11460	5930
659	11477	5912
660	11491	5893
661	11508	5876
662	11521	5856
663	11537	5838
664	11552	5819
665	11571	5802
666	11589	5786
667	11604	5767
668	11620	5749
669	11638	5732
670	11651	5712
671	11667	5694
672	11685	5677
673	11703	5660
674	11718	5642
675	11734	5624
676	11749	5605
677	11767	5588
678	11786	5572
679	11801	5553
