iter	Passed	Remaining
708	39930	16389
709	39984	16331
710	40035	16273
711	40091	16216
712	40151	16161
713	40205	16104
714	40262	16048
715	40320	15993
716	40380	15938
717	40432	15879
718	40487	15823
719	40545	15767
720	40607	15713
721	40728	15682
722	40784	15625
723	40838	15568
724	40895	15512
725	40948	15454
726	41001	15396
727	41055	15339
728	41112	15283
729	41170	15227
730	41229	15171
731	41285	15115
732	41347	15061
733	41401	15003
734	41456	14946
735	41514	14890
736	41571	14834
737	41623	14776
738	41707	14730
739	41809	14689
740	41862	14632
741	41926	14578
742	41982	14521
743	42041	14465
744	42095	14408
745	42151	14351
746	42205	14294
747	42258	14236
748	42310	14178
749	42368	14122
750	42424	14066
751	42483	14010
752	42538	13953
753	42595	13897
754	42650	13840
755	42704	13782
756	42787	13734
757	42892	13693
758	42946	13636
759	43006	13581
760	43063	13524
761	43115	13466
762	43168	13408
763	43219	13350
764	43275	13293
765	43341	13240
766	43397	13183
767	43456	13127
768	43515	13071
769	43569	13014
770	43622	12956
771	43676	12899
772	43729	12841
773	43783	12784
774	43856	12732
775	43964	12690
776	44023	12634
777	44079	12577
778	44136	12521
779	44189	12463
780	44239	12405
781	44293	12347
782	44347	12290
783	44403	12233
784	44461	12177
785	44519	12121
786	44574	12063
787	44627	12006
788	44681	11948
789	44733	11891
790	44791	11834
791	44841	11776
792	44898	11719
793	45031	11683
794	45089	11626
795	45143	11569
796	45199	11512
797	45255	11455
798	45310	11398
799	45369	11342
800	45422	11284
801	45477	11227
802	45527	11169
803	45582	11112
804	45639	11055
805	45699	10999
806	45750	10941
807	45804	10884
808	45856	10826
809	45909	10768
810	45961	10711
811	46137	10682
812	46200	10626
813	46255	10569
814	46311	10512
815	46368	10455
816	46422	10398
817	46479	10341
818	46532	10283
819	46584	10225
820	46635	10167
821	46695	10111
822	46751	10054
823	46804	9997
824	46858	9939
825	46917	9883
826	46971	9825
827	47030	9769
828	47086	9712
829	47218	9671
830	47277	9614
831	47334	9557
832	47392	9501
833	47445	9443
834	47499	9386
835	47555	9329
836	47609	9271
837	47663	9214
838	47717	9156
839	47775	9100
840	47831	9043
841	47885	8985
842	47936	8927
843	47994	8870
844	48048	8813
845	48106	8757
846	48159	8699
847	48217	8642
848	48348	8599
849	48399	8541
850	48453	8483
851	48509	8426
852	48563	8369
853	48620	8312
854	48677	8255
855	48732	8197
856	48791	8141
857	48850	8084
858	48906	8027
859	48960	7970
860	49015	7913
861	49070	7855
862	49123	7798
863	49178	7741
864	49238	7684
865	49325	7632
866	49436	7583
867	49489	7526
868	49545	7468
